MAIN_PROF_AREA_CODE,MAIN_PROF_AREA_INDEX,PROFESSIONAL_AREA_INDEX,MAIN_PROF_AREA_NAME,ROME_PROFESSION_NAME,ROME_PROFESSION_SHORT_NAME,SOURCE_TYPE,PROFESSION_SHEET_CODE,ROME_PROF_CARD_OGR_CODE,ROME_PROFESSION_OGR_CODE,PRIORITIZATION_CODE
"A","","","AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX","","","1","","","",""
"A","11","","Engins agricoles et forestiers","","","2","","","",""
"A","11","01","Conduite d''engins agricoles et forestiers","","","3","","","",""
"","","","","Chauffeur / Chauffeuse de machines agricoles","Chauffeur / Chauffeuse de machines agricoles","4","11","6","11987","1"
"","","","","Conducteur / Conductrice d''abatteuses","Conducteur / Conductrice d''abatteuses","4","11","6","12862","1"
"","","","","Conducteur / Conductrice d''automoteur de récolte","Conducteur / Conductrice d''automoteur de récolte","4","11","6","38874","1"
"","","","","Conducteur / Conductrice de machines à vendanger","Conducteur / Conductrice de machines à vendanger","4","11","6","13232","1"
"","","","","Conducteur / Conductrice de matériels de semis","Conducteur / Conductrice de matériels de semis","4","11","6","38878","1"
"","","","","Conducteur / Conductrice d''engins de débardage","Conducteur / Conductrice d''engins de débardage","4","11","6","13248","1"
"","","","","Conducteur / Conductrice d''engins d''exploitation agricole","Conducteur / Conductrice d''engins d''exploitation agricole","4","11","6","13254","1"
"","","","","Conducteur / Conductrice d''engins d''exploitation forestière","Conducteur / Conductrice d''engins d''exploitation forestière","4","11","6","13255","1"
"","","","","Conducteur / Conductrice d''engins forestiers","Conducteur / Conductrice d''engins forestiers","4","11","6","13256","1"
"","","","","Conducteur / Conductrice de pulvérisateur","Conducteur / Conductrice de pulvérisateur","4","11","6","38875","1"
"","","","","Conducteur / Conductrice de tracteur","Conducteur / Conductrice de tracteur","4","11","6","13201","1"
"","","","","Conducteur / Conductrice de tracto-benne","Conducteur / Conductrice de tracto-benne","4","11","6","38879","1"
"","","","","Conducteur / Conductrice de tête d''abattage","Conducteur / Conductrice  de tête d''abattage","4","11","6","13197","1"
"","","","","Conducteur / Conductrice d''épareuse","Conducteur / Conductrice d''épareuse","4","11","6","38877","1"
"","","","","Débardeur / Débardeuse","Débardeur / Débardeuse","4","11","6","13886","1"
"","","","","Débardeur forestier / Débardeuse forestière","Débardeur forestier / Débardeuse forestière","4","11","6","13887","1"
"","","","","Opérateur / Opératrice d''abatteuse","Opérateur / Opératrice d''abatteuse","4","11","6","17055","1"
"","","","","Opérateur / Opératrice d''épandage","Opérateur / Opératrice d''épandage","4","11","6","38876","1"
"","","","","Pilote de machines d''abattage","Pilote de machines d''abattage","4","11","6","17751","1"
"","","","","Tractoriste agricole","Tractoriste agricole","4","11","6","20404","1"
"","","","","Tractoriste forestier / Tractoriste forestière","Tractoriste forestier / Tractoriste forestière","4","11","6","20405","1"
"A","12","","Espaces naturels et espaces verts","","","2","","","",""
"A","12","01","Bûcheronnage et élagage","","","3","","","",""
"","","","","Arboriste","Arboriste","4","19","7","11105","1"
"","","","","Arboriste grimpeur / grimpeuse","Arboriste grimpeur / grimpeuse","4","19","7","11106","1"
"","","","","Bûcheron / Bûcheronne","Bûcheron / Bûcheronne","4","19","7","11606","1"
"","","","","Bûcheron élagueur / Bûcheronne élagueuse","Bûcheron élagueur / Bûcheronne élagueuse","4","19","7","11607","1"
"","","","","Charbonnier / Charbonnière","Charbonnier / Charbonnière","4","19","7","11740","1"
"","","","","Commis / Commise de coupe","Commis / Commise de coupe","4","19","7","12755","1"
"","","","","Ehouppeur / Ehouppeuse","Ehouppeur / Ehouppeuse","4","19","7","14607","1"
"","","","","Elagueur-botteur / Elagueuse-botteuse","Elagueur-botteur / Elagueuse-botteuse","4","19","7","14610","1"
"","","","","Elagueur / Elagueuse","Elagueur / Elagueuse","4","19","7","14608","1"
"","","","","Elagueur / Elagueuse espaces verts","Elagueur / Elagueuse espaces verts","4","19","7","14609","1"
"","","","","Elagueur-grimpeur / Elagueuse-grimpeuse","Elagueur-grimpeur / Elagueuse-grimpeuse","4","19","7","14611","1"
"","","","","Grimpeur-élagueur / Grimpeuse-élagueuse","Grimpeur-élagueur / Grimpeuse-élagueuse","4","19","7","15429","1"
"","","","","Homme / Femme de pied","Homme / Femme de pied","4","19","7","38435","1"
"","","","","Ouvrier / Ouvrière d''exploitation forestière","Ouvrier / Ouvrière d''exploitation forestière","4","19","7","17483","1"
"A","12","02","Entretien des espaces naturels","","","3","","","",""
"","","","","Agent / Agente d''aménagement des circuits pédestres, équestres et Vtt","Agent(e) aménagement des circuits pédestres, équestres, VTT","4","15","8","10382","1"
"","","","","Agent / Agente d''aménagement des haies et fossés","Agent / Agente d''aménagement des haies et fossés","4","15","8","10383","1"
"","","","","Agent / Agente d''entretien de la nature","Agent / Agente d''entretien de la nature","4","15","8","10664","1"
"","","","","Agent / Agente d''entretien de l''espace rural","Agent / Agente d''entretien de l''espace rural","4","15","8","10667","1"
"","","","","Agent / Agente d''entretien des espaces naturels","Agent / Agente d''entretien des espaces naturels","4","15","8","10673","1"
"","","","","Agent / Agente d''entretien des rivières","Agent / Agente d''entretien des rivières","4","15","8","10677","1"
"","","","","Agent / Agente d''entretien nature du littoral","Agent / Agente d''entretien nature du littoral","4","15","8","10685","1"
"","","","","Agent / Agente d''entretien nature et biodiversité","Agent / Agente d''entretien nature et biodiversité","4","15","8","38323","1"
"","","","","Chef d''équipe d''entretien d''espaces naturels","Chef d''équipe d''entretien d''espaces naturels","4","15","8","12440","1"
"","","","","Ouvrier / Ouvrière d''entretien des espaces naturels","Ouvrier / Ouvrière d''entretien des espaces naturels","4","15","8","17474","1"
"A","12","03","Entretien des espaces verts","","","3","","","",""
"","","","","Agent / Agente d''entretien des parcs et jardins","Agent / Agente d''entretien des parcs et jardins","4","16","9","10675","1"
"","","","","Aide jardinier / jardinière","Aide jardinier / jardinière","4","16","9","38436","1"
"","","","","Chef d''équipe d''entretien des espaces verts","Chef d''équipe d''entretien des espaces verts","4","16","9","12439","1"
"","","","","Chef d''équipe paysagiste","Chef d''équipe paysagiste","4","16","9","12482","1"
"","","","","Jardinier / Jardinière d''espaces verts","Jardinier / Jardinière d''espaces verts","4","16","9","16068","1"
"","","","","Jardinier / Jardinière","Jardinier / Jardinière","4","16","9","16067","1"
"","","","","Jardinier / Jardinière paysagiste","Jardinier / Jardinière paysagiste","4","16","9","16069","1"
"","","","","Manoeuvre des espaces verts","Manoeuvre des espaces verts","4","16","9","38437","1"
"","","","","Ouvrier / Ouvrière d''entretien des espaces verts","Ouvrier / Ouvrière d''entretien des espaces verts","4","16","9","17475","1"
"","","","","Ouvrier / Ouvrière des espaces verts","Ouvrier / Ouvrière des espaces verts","4","16","9","17480","1"
"","","","","Ouvrier / Ouvrière du paysage","Ouvrier / Ouvrière du paysage","4","16","9","17487","1"
"","","","","Ouvrier / Ouvrière paysagiste","Ouvrier / Ouvrière paysagiste","4","16","9","17515","1"
"","","","","Technicien / Technicienne paysagiste","Technicien / Technicienne paysagiste","4","16","9","38077","1"
"A","12","04","Protection du patrimoine naturel","","","3","","","",""
"","","","","Agent / Agente technique des parcs nationaux","Agent / Agente technique des parcs nationaux","4","13","10","10780","1"
"","","","","Agent chargé / Agente chargée de protection et de sauvegarde du patrimoine naturel","Agent(e) chargé(e) protection, sauvegarde patrimoine naturel","4","13","10","10358","1"
"","","","","Eco garde","Eco garde","4","13","10","14562","1"
"","","","","Garde-chasse","Garde-chasse","4","13","10","15205","1"
"","","","","Garde-chasse particulier / particulière","Garde-chasse particulier / particulière","4","13","10","15206","1"
"","","","","Garde de parc naturel","Garde de parc naturel","4","13","10","15195","1"
"","","","","Garde du littoral","Garde du littoral","4","13","10","15198","1"
"","","","","Garde forestier / forestière","Garde forestier / forestière","4","13","10","15199","1"
"","","","","Garde moniteur / monitrice de parc national","Garde moniteur / monitrice de parc national","4","13","10","15200","1"
"","","","","Garde moniteur / monitrice de parc naturel","Garde moniteur / monitrice de parc naturel","4","13","10","15201","1"
"","","","","Garde national / nationale de la chasse et de la faune sauvage","Garde national/nationale de la chasse et de la faune sauvage","4","13","10","15202","1"
"","","","","Garde-pêche","Garde-pêche","4","13","10","15208","1"
"","","","","Garde-rivière","Garde-rivière","4","13","10","15210","1"
"","","","","Garde technicien / technicienne de réserve naturelle","Garde technicien / technicienne de réserve naturelle","4","13","10","15204","1"
"","","","","Technicien / Technicienne cynégétique","Technicien / Technicienne cynégétique","4","13","10","19706","1"
"","","","","Technicien / Technicienne de rivière","Technicien / Technicienne de rivière","4","13","10","38379","1"
"A","12","05","Sylviculture","","","3","","","",""
"","","","","Agent / Agente de maîtrise d''exploitation forestière","Agent / Agente de maîtrise d''exploitation forestière","4","18","11","10514","1"
"","","","","Agent technique forestier / Agente technique forestière","Agent technique forestier / Agente technique forestière","4","18","11","10795","1"
"","","","","Chef de district forestier","Chef de district forestier","4","18","11","12136","1"
"","","","","Chef d''équipe de travaux forestiers","Chef d''équipe de travaux forestiers","4","18","11","38438","1"
"","","","","Conducteur / Conductrice de travaux forestiers","Conducteur / Conductrice de travaux forestiers","4","18","11","38439","1"
"","","","","Contremaître / Contremaîtresse d''exploitation forestière","Contremaître / Contremaîtresse d''exploitation forestière","4","18","11","13572","1"
"","","","","Exploitant forestier / Exploitante forestière","Exploitant forestier / Exploitante forestière","4","18","11","15010","1"
"","","","","Forestier / Forestière","Forestier / Forestière","4","18","11","15109","1"
"","","","","Manoeuvre forestier / forestière","Manoeuvre forestier / forestière","4","18","11","16353","1"
"","","","","Ouvrier forestier / Ouvrière forestière","Ouvrier forestier / Ouvrière forestière","4","18","11","17502","1"
"","","","","Ouvrier sylvicole / Ouvrière sylvicole","Ouvrier sylvicole / Ouvrière sylvicole","4","18","11","17536","1"
"","","","","Ouvrier sylviculteur / Ouvrière sylvicultrice","Ouvrier sylviculteur / Ouvrière sylvicutrice","4","18","11","17537","1"
"","","","","Populiculteur / Populicultrice","Populiculteur / Populicultrice","4","18","11","17889","1"
"","","","","Sylviculteur / Sylvicultrice","Sylviculteur / Sylvicultrice","4","18","11","19606","1"
"A","13","","Etudes et assistance technique","","","2","","","",""
"A","13","01","Conseil et assistance technique en agriculture","","","3","","","",""
"","","","","Animateur / Animatrice agricole","Animateur / Animatrice agricole","4","27","12","10972","1"
"","","","","Animateur / Animatrice d''organismes agricoles","Animateur / Animatrice d''organismes agricoles","4","27","12","11050","1"
"","","","","Conseiller / Conseillère agricole","Conseiller / Conseillère agricole","4","27","12","13350","1"
"","","","","Conseiller / Conseillère d''agriculture","Conseiller / Conseillère d''agriculture","4","27","12","13386","1"
"","","","","Conseiller / Conseillère de gestion agricole","Conseiller / Conseillère de gestion agricole","4","27","12","13388","1"
"","","","","Conseiller / Conseillère d''élevage en production laitière","Conseiller / Conseillère d''élevage en production laitière","4","27","12","13395","1"
"","","","","Conseiller / Conseillère en génie climatique agricole","Conseiller / Conseillère en génie climatique agricole","4","27","12","38324","1"
"","","","","Conseiller / Conseillère en irrigation","Conseiller / Conseillère en irrigation","4","27","12","13439","1"
"","","","","Conseiller / Conseillère en machinisme agricole","Conseiller / Conseillère en machinisme agricole","4","27","12","13440","1"
"","","","","Conseiller / Conseillère technique agricole","Conseiller / Conseillère technique agricole","4","27","12","13481","1"
"","","","","Conseiller / Conseillère viticole","Conseiller / Conseillère viticole","4","27","12","13496","1"
"","","","","Conseiller forestier / Conseillère forestière","Conseiller forestier / Conseillère forestière","4","27","12","13459","1"
"","","","","Hydraulicien / Hydraulicienne en agriculture","Hydraulicien / Hydraulicienne en agriculture","4","27","12","15498","1"
"","","","","Technicien foncier / Technicienne foncière en agriculture","Technicien foncier / Technicienne foncière en agriculture","4","27","12","20148","1"
"","","","","Technicien foncier / Technicienne foncière","Technicien foncier / Technicienne foncière","4","27","12","20147","1"
"","","","","Technicien forestier / Technicienne forestière d''études et de recherche","Technicien(ne) forestier(ère) d''études et de recherche","4","27","12","20150","1"
"","","","","Technicien forestier / Technicienne forestière","Technicien forestier / Technicienne forestière","4","27","12","20149","1"
"","","","","Technicien laitier / Technicienne laitière","Technicien laitier / Technicienne laitière","4","27","12","20179","1"
"","","","","Technicien / Technicienne arboricole","Technicien / Technicienne arboricole","4","27","12","19657","1"
"","","","","Technicien / Technicienne avicole","Technicien / Technicienne avicole","4","27","12","19667","1"
"","","","","Technicien / Technicienne bovin","Technicien / Technicienne bovin","4","27","12","19679","1"
"","","","","Technicien / Technicienne bâtiments d''élevage","Technicien / Technicienne bâtiments d''élevage","4","27","12","19670","1"
"","","","","Technicien / Technicienne caprin","Technicien / Technicienne caprin","4","27","12","19683","1"
"","","","","Technicien / Technicienne cunicole","Technicien / Technicienne cunicole","4","27","12","19705","1"
"","","","","Technicien / Technicienne d''agriculture","Technicien / Technicienne d''agriculture","4","27","12","19709","1"
"","","","","Technicien / Technicienne de culture maraîchère","Technicien / Technicienne de culture maraîchère","4","27","12","19743","1"
"","","","","Technicien / Technicienne de maintenance végétale","Technicien / Technicienne de maintenance végétale","4","27","12","19875","1"
"","","","","Technicien / Technicienne de production animale","Technicien / Technicienne de production animale","4","27","12","19900","1"
"","","","","Technicien / Technicienne des travaux forestiers","Technicien / Technicienne des travaux forestiers","4","27","12","19953","1"
"","","","","Technicien / Technicienne d''expérimentation","Technicien / Technicienne d''expérimentation","4","27","12","19968","1"
"","","","","Technicien / Technicienne d''élevage","Technicien / Technicienne d''élevage","4","27","12","19932","1"
"","","","","Technicien / Technicienne du génie rural","Technicien / Technicienne du génie rural","4","27","12","20019","1"
"","","","","Technicien / Technicienne du génie sanitaire et environnement","Technicien/Technicienne du génie sanitaire et environnement","4","27","12","20020","1"
"","","","","Technicien / Technicienne en agriculture biologique","Technicien / Technicienne en agriculture biologique","4","27","12","20036","1"
"","","","","Technicien / Technicienne en alimentation animale","Technicien / Technicienne en alimentation animale","4","27","12","20037","1"
"","","","","Technicien / Technicienne en fabrication fromagère","Technicien / Technicienne en fabrication fromagère","4","27","12","20066","1"
"","","","","Technicien / Technicienne horticole","Technicien / Technicienne horticole","4","27","12","20165","1"
"","","","","Technicien / Technicienne ovin","Technicien / Technicienne ovin","4","27","12","20207","1"
"","","","","Technicien / Technicienne porcin","Technicien / Technicienne porcin","4","27","12","20218","1"
"","","","","Technicien / Technicienne équin","Technicien / Technicienne équin","4","27","12","20135","1"
"","","","","Technicien / Technicienne semences","Technicien / Technicienne semences","4","27","12","20252","1"
"","","","","Technicien / Technicienne viticole","Technicien / Technicienne viticole","4","27","12","20286","1"
"A","13","02","Contrôle et diagnostic technique en agriculture","","","3","","","",""
"","","","","Agent / Agente de collecte d''embryons","Agent / Agente de collecte d''embryons","4","25","13","10401","1"
"","","","","Agent / Agente de production laitière","Agent / Agente de production laitière","4","25","13","10566","1"
"","","","","Agent / Agente sanitaire apicole","Agent / Agente sanitaire apicole","4","25","13","10754","1"
"","","","","Agent / Agente sanitaire de l''agriculture","Agent / Agente sanitaire de l''agriculture","4","25","13","10755","1"
"","","","","Agent / Agente technique agricole","Agent / Agente technique agricole","4","25","13","10759","1"
"","","","","Agent / Agente technique d''élevage","Agent / Agente technique d''élevage","4","25","13","10778","1"
"","","","","Agent / Agente technique en produits de traitement","Agent / Agente technique en produits de traitement","4","25","13","10789","1"
"","","","","Assistant / Assistante sanitaire apicole","Assistant / Assistante sanitaire apicole","4","25","13","11330","1"
"","","","","Contrôleur / Contrôleuse de croissance de l''agriculture","Contrôleur / Contrôleuse de croissance de l''agriculture","4","25","13","13594","1"
"","","","","Contrôleur / Contrôleuse de culture","Contrôleur / Contrôleuse de culture","4","25","13","13595","1"
"","","","","Contrôleur / Contrôleuse de performance","Contrôleur / Contrôleuse de performance","4","25","13","13612","1"
"","","","","Contrôleur / Contrôleuse viticole","Contrôleur / Contrôleuse viticole","4","25","13","13662","1"
"","","","","Contrôleur laitier / Contrôleuse laitière","Contrôleur laitier / Contrôleuse laitière","4","25","13","13642","1"
"","","","","Contrôleur-pointeur / Contrôleuse-pointeuse","Contrôleur-pointeur / Contrôleuse-pointeuse","4","25","13","13665","1"
"","","","","Inséminateur artificiel / Inséminatrice artificielle","Inséminateur artificiel / Inséminatrice artificielle","4","25","13","15918","1"
"","","","","Peseur laitier / Peseuse laitière","Peseur laitier / Peseuse laitière","4","25","13","17673","1"
"","","","","Technicien / Technicienne agricole","Technicien / Technicienne agricole","4","25","13","19652","1"
"","","","","Technicien / Technicienne de contrôle de croissance de l''agriculture","Technicien(ne) de contrôle de croissance de l''agriculture","4","25","13","19724","1"
"","","","","Technicien / Technicienne de contrôle laitier","Technicien / Technicienne de contrôle laitier","4","25","13","19736","1"
"","","","","Technicien / Technicienne de production laitière","Technicien / Technicienne de production laitière","4","25","13","19917","1"
"","","","","Technicien / Technicienne des services vétérinaires","Technicien / Technicienne des services vétérinaires","4","25","13","19951","1"
"A","13","03","Ingénierie en agriculture et environnement naturel","","","3","","","",""
"","","","","Agro-économiste","Agro-économiste","4","29","14","10804","1"
"","","","","Bio-ingénieur / Bio-ingénieure","Bio-ingénieur / Bio-ingénieure","4","29","14","11522","1"
"","","","","Chargé / Chargée de mission biodiversité","Chargé / Chargée de mission biodiversité","4","29","14","38760","1"
"","","","","Chargé / Chargée de mission en agriculture","Chargé / Chargée de mission en agriculture","4","29","14","11824","1"
"","","","","Chargé / Chargée de recherche en agriculture","Chargé / Chargée de recherche en agriculture","4","29","14","11861","1"
"","","","","Chargé / Chargée d''études agricoles","Chargé / Chargée d''études agricoles","4","29","14","11896","1"
"","","","","Chargé / Chargée d''études économiques en agriculture","Chargé / Chargée d''études économiques en agriculture","4","29","14","11903","1"
"","","","","Chargé / Chargée d''études du patrimoine naturel","Chargé / Chargée d''études du patrimoine naturel","4","29","14","38762","1"
"","","","","Chargé / Chargée d''études en biodiversité","Chargé / Chargée d''études en biodiversité","4","29","14","38761","1"
"","","","","Chargé / Chargée d''études en développement agricole","Chargé / Chargée d''études en développement agricole","4","29","14","11906","1"
"","","","","Chargé / Chargée d''études en développement rural","Chargé / Chargée d''études en développement rural","4","29","14","11907","1"
"","","","","Chargé / Chargée d''études environnement","Chargé / Chargée d''études environnement","4","29","14","11910","1"
"","","","","Expert agricole et foncier / Experte agricole et foncière","Expert agricole et foncier / Experte agricole et foncière","4","29","14","14932","1"
"","","","","Expert / Experte cynégétique","Expert / Experte cynégétique","4","29","14","14934","1"
"","","","","Expert / Experte en aquaculture","Expert / Experte en aquaculture","4","29","14","14936","1"
"","","","","Expert forestier / Experte forestière","Expert forestier / Experte forestière","4","29","14","14948","1"
"","","","","Expérimentateur / Expérimentatrice en agriculture","Expérimentateur / Expérimentatrice en agriculture","4","29","14","14931","1"
"","","","","Ingénieur / Ingénieure agro-environnement","Ingénieur / Ingénieure agro-environnement","4","29","14","15575","1"
"","","","","Ingénieur / Ingénieure agro-halieute","Ingénieur / Ingénieure agro-halieute","4","29","14","15576","1"
"","","","","Ingénieur / Ingénieure agronome","Ingénieur / Ingénieure agronome","4","29","14","15577","1"
"","","","","Ingénieur / Ingénieure arboricole","Ingénieur / Ingénieure arboricole","4","29","14","15583","1"
"","","","","Ingénieur / Ingénieure des eaux et forêts","Ingénieur / Ingénieure des eaux et forêts","4","29","14","15682","1"
"","","","","Ingénieur / Ingénieure des techniques forestières","Ingénieur / Ingénieure des techniques forestières","4","29","14","15685","1"
"","","","","Ingénieur / Ingénieure des travaux agricoles","Ingénieur / Ingénieure des travaux agricoles","4","29","14","15686","1"
"","","","","Ingénieur / Ingénieure des travaux des eaux et forêts","Ingénieur / Ingénieure des travaux des eaux et forêts","4","29","14","15688","1"
"","","","","Ingénieur / Ingénieure des travaux ruraux","Ingénieur / Ingénieure des travaux ruraux","4","29","14","15692","1"
"","","","","Ingénieur / Ingénieure d''études et de recherche agricoles","Ingénieur / Ingénieure d''études et de recherche agricoles","4","29","14","15711","1"
"","","","","Ingénieur / Ingénieure du génie rural des eaux et forêts -IGREF-","Ingénieur/Ingénieure du génie rural des eaux et forêts IGREF","4","29","14","15724","1"
"","","","","Ingénieur / Ingénieure du génie rural","Ingénieur / Ingénieure du génie rural","4","29","14","15723","1"
"","","","","Ingénieur / Ingénieure en expérimentation animale","Ingénieur / Ingénieure en expérimentation animale","4","29","14","15760","1"
"","","","","Ingénieur / Ingénieure en expérimentation végétale","Ingénieur / Ingénieure en expérimentation végétale","4","29","14","15761","1"
"","","","","Ingénieur / Ingénieure en techniques d''expérimentation animale","Ingénieur/Ingénieure en techniques d''expérimentation animale","4","29","14","15788","1"
"","","","","Ingénieur / Ingénieure halieute","Ingénieur / Ingénieure halieute","4","29","14","15814","1"
"","","","","Ingénieur / Ingénieure horticole","Ingénieur / Ingénieure horticole","4","29","14","15815","1"
"","","","","Ingénieur / Ingénieure paysagiste","Ingénieur / Ingénieure paysagiste","4","29","14","15852","1"
"A","14","","Production","","","2","","","",""
"A","14","01","Aide agricole de production fruitière ou viticole","","","3","","","",""
"","","","","Aide agricole en arboriculture","Aide agricole en arboriculture","4","34","15","10806","1"
"","","","","Aide agricole en production fruitière","Aide agricole en production fruitière","4","34","15","10810","1"
"","","","","Aide agricole en viticulture","Aide agricole en viticulture","4","34","15","10814","1"
"","","","","Aide arboricole","Aide arboricole","4","34","15","10815","1"
"","","","","Aide-arboriculteur / Aide-arboricultrice","Aide-arboriculteur / Aide-arboricultrice","4","34","15","10864","1"
"","","","","Aide-pépiniériste","Aide-pépiniériste","4","34","15","10886","1"
"","","","","Aide viticole","Aide viticole","4","34","15","10862","1"
"","","","","Aide-viticulteur / Aide-viticultrice","Aide-viticulteur / Aide-viticultrice","4","34","15","10900","1"
"","","","","Cueilleur / Cueilleuse de cerises","Cueilleur / Cueilleuse de cerises","4","34","15","13853","1"
"","","","","Cueilleur / Cueilleuse de fruits","Cueilleur / Cueilleuse de fruits","4","34","15","13855","1"
"","","","","Cueilleur / Cueilleuse de pêches","Cueilleur / Cueilleuse de pêches","4","34","15","13856","1"
"","","","","Cueilleur / Cueilleuse de poires","Cueilleur / Cueilleuse de poires","4","34","15","13857","1"
"","","","","Cueilleur / Cueilleuse de pommes","Cueilleur / Cueilleuse de pommes","4","34","15","13858","1"
"","","","","Planteur / Planteuse de bananes","Planteur / Planteuse de bananes","4","34","15","17817","1"
"","","","","Porteur / Porteuse de hottes","Porteur / Porteuse de hottes","4","34","15","17892","1"
"","","","","Vendangeur / Vendangeuse","Vendangeur / Vendangeuse","4","34","15","20510","1"
"A","14","02","Aide agricole de production légumière ou végétale","","","3","","","",""
"","","","","Aide agricole en maraîchage-horticulture","Aide agricole en maraîchage-horticulture","4","32","16","10807","1"
"","","","","Aide agricole en polyculture","Aide agricole en polyculture","4","32","16","10808","1"
"","","","","Aide agricole en production florale","Aide agricole en production florale","4","32","16","10809","1"
"","","","","Aide agricole en production légumière","Aide agricole en production légumière","4","32","16","10812","1"
"","","","","Aide agricole en production végétale","Aide agricole en production végétale","4","32","16","10813","1"
"","","","","Aide horticole","Aide horticole","4","32","16","10849","1"
"","","","","Aide maraîcher / maraîchère","Aide maraîcher / maraîchère","4","32","16","10853","1"
"","","","","Castreur / Castreuse de maïs","Castreur / Castreuse de maïs","4","32","16","11710","1"
"","","","","Coupeur / Coupeuse de canne à sucre","Coupeur / Coupeuse de canne à sucre","4","32","16","13775","1"
"","","","","Cueilleur / Cueilleuse de feuilles de tabac","Cueilleur / Cueilleuse de feuilles de tabac","4","32","16","13854","1"
"","","","","Planteur / Planteuse de café - thé","Planteur / Planteuse de café - thé","4","32","16","17818","1"
"","","","","Planteur / Planteuse de canne à sucre","Planteur / Planteuse de canne à sucre","4","32","16","17819","1"
"","","","","Planteur / Planteuse de tabac","Planteur / Planteuse de tabac","4","32","16","17820","1"
"","","","","Ramasseur / Ramasseuse d''ail","Ramasseur / Ramasseuse d''ail","4","32","16","18275","1"
"","","","","Ramasseur / Ramasseuse d''asperges","Ramasseur / Ramasseuse d''asperges","4","32","16","18276","1"
"","","","","Ramasseur / Ramasseuse de champignons","Ramasseur / Ramasseuse de champignons","4","32","16","18277","1"
"","","","","Ramasseur / Ramasseuse de légumes","Ramasseur / Ramasseuse de légumes","4","32","16","18278","1"
"","","","","Ramasseur / Ramasseuse d''endives","Ramasseur / Ramasseuse d''endives","4","32","16","18281","1"
"","","","","Ramasseur / Ramasseuse de pommes de terre","Ramasseur / Ramasseuse de pommes de terre","4","32","16","18279","1"
"A","14","03","Aide d''élevage agricole et aquacole","","","3","","","",""
"","","","","Aide agricole en production laitière","Aide agricole en production laitière","4","31","17","10811","1"
"","","","","Aide de conchyliculture","Aide de conchyliculture","4","31","17","10825","1"
"","","","","Aide de pisciculture","Aide de pisciculture","4","31","17","10829","1"
"","","","","Aide d''élevage aquacole","Aide d''élevage aquacole","4","31","17","10832","1"
"","","","","Aide d''élevage bovin","Aide d''élevage bovin","4","31","17","10833","1"
"","","","","Aide d''élevage caprin","Aide d''élevage caprin","4","31","17","10834","1"
"","","","","Aide d''élevage cunicole (lapins)","Aide d''élevage cunicole (lapins)","4","31","17","10835","1"
"","","","","Aide d''élevage de chevaux","Aide d''élevage de chevaux","4","31","17","10836","1"
"","","","","Aide d''élevage en production de volaille","Aide d''élevage en production de volaille","4","31","17","10837","1"
"","","","","Aide d''élevage en production laitière","Aide d''élevage en production laitière","4","31","17","10838","1"
"","","","","Aide d''élevage ostréicole","Aide d''élevage ostréicole","4","31","17","10839","1"
"","","","","Aide d''élevage ovin","Aide d''élevage ovin","4","31","17","10840","1"
"","","","","Aide d''élevage porcin","Aide d''élevage porcin","4","31","17","10841","1"
"","","","","Aide-vacher / Aide-vachère","Aide-vacher / Aide-vachère","4","31","17","10898","1"
"","","","","Palefrenier / Palefrenière","Palefrenier / Palefrenière","4","31","17","17546","1"
"","","","","Ramasseur / Ramasseuse de volaille","Ramasseur / Ramasseuse de volaille","4","31","17","18280","1"
"","","","","Ramasseur / Ramasseuse d''oeufs","Ramasseur / Ramasseuse d''oeufs","4","31","17","18282","1"
"","","","","Sexeur / Sexeuse de volailles","Sexeur / Sexeuse de volailles","4","31","17","19431","1"
"","","","","Tondeur / Tondeuse de moutons","Tondeur / Tondeuse de moutons","4","31","17","20364","1"

